object_id,category,episodes,scales,collision_pieces
core_bottle_1071fa4cddb2da2fc8724d5673a063a6,bottle,52,0.06|0.08|0.10,2
core_bottle_109d55a137c042f5760315ac3bf2c13e,bottle,59,0.06|0.08|0.10|0.12|0.15,2
core_bottle_10dff3c43200a7a7119862dbccbaa609,bottle,60,0.06|0.08,6
core_bottle_10f709cecfbb8d59c2536abb1e8e5eab,bottle,60,0.06|0.08|0.10,2
core_bottle_114509277e76e413c8724d5673a063a6,bottle,60,0.06|0.08|0.10,2
core_bottle_21239b0cafa13526cafb7c62b057a234,bottle,56,0.06|0.08|0.10|0.12|0.15,3
core_bottle_21dbbd17ae4c3fce6a90f735365ac29e,bottle,54,0.06|0.08|0.10,10
core_bottle_22249179e88b0502846564a8a219239b,bottle,55,0.06|0.08|0.10,2
core_bottle_244894af3ba967ccd957eaf7f4edb205,bottle,56,0.06|0.08|0.10|0.12|0.15,17
core_bottle_25b8ed5b02f07b6cbcfad79fc308fa6d,bottle,20,0.06,2
core_bottle_2618100a5821a4d847df6165146d5bbd,bottle,60,0.06|0.08|0.10,2
core_cellphone_11f7613cae7d973fd7e59c29eb25f02f,cellphone,60,0.08,1
core_cellphone_1292caa1282ad8cffc3c4ad908ac06f4,cellphone,51,0.06|0.08,1
core_jar_12ec19e85b31e274725f67267e31c89,jar,45,0.06|0.08|0.10,77
core_jar_146f6702601f9c5d8bb41b82b15c6ac,jar,46,0.06|0.10,80
core_jar_14ac8d866a8ea8b398910e50f05b8001,jar,57,0.06|0.08|0.10|0.12,68
core_jar_151a80ff1ad2fe11c8c4893204f16cf,jar,56,0.06|0.08|0.12,32
core_mug_1038e4eac0e18dcce02ae6d2a21d494a,mug,60,0.06|0.08,29
core_mug_10f6e09036350e92b3f21f1137c3c347,mug,60,0.06|0.08|0.10,28
core_mug_127944b6dabee1c9e20e92c5b8147e4a,mug,60,0.06|0.08|0.10|0.12,17
core_mug_128ecbc10df5b05d96eaf1340564a4de,mug,60,0.06|0.08|0.10,48
core_mug_1305b9266d38eb4d9f818dd0aa1a251,mug,60,0.06|0.08,30
